Dish,Ingredients,Steps,Cuisine
Poha,"2 cups flattened rice, 1 onion finely chopped, 2 tbsp peanuts, 1 green chilli, 1/2 tsp mustard seeds, 1/2 tsp turmeric, curry leaves, salt, lemon juice, oil","Wash poha and drain excess water. Heat oil in a pan, add mustard seeds and curry leaves. Add peanuts and roast. Add onion and chilli and saute until soft. Add turmeric and salt. Add poha and mix gently. Cook for 2 minutes. Switch off flame and add lemon juice. Serve hot.",Maharashtrian
Kanda Poha,"2 cups poha, 1 onion, peanuts, mustard seeds, turmeric, green chilli, curry leaves, salt, lemon","Wash poha. Heat oil, add mustard seeds, curry leaves, peanuts. Add onion and saute. Add turmeric and salt. Add poha and mix well. Cook 2 minutes and add lemon juice.",Maharashtrian
Upma,"1 cup rava, 1 onion, vegetables, mustard seeds, curry leaves, ginger, salt, oil","Dry roast rava. Heat oil, add mustard seeds and curry leaves. Add onion, ginger and vegetables. Add water and salt. When boiling, add rava slowly and stir. Cook until thick.",South Indian
Idli,"2 cups rice, 1 cup urad dal, salt","Soak rice and dal for 6 hours. Grind and ferment overnight. Add salt. Pour batter into idli moulds and steam for 10 minutes.",South Indian
Masala Dosa,"Dosa batter, potatoes, onion, mustard seeds, turmeric, curry leaves","Prepare potato masala by cooking potatoes and tempering with spices. Spread dosa batter on tawa. Place filling inside and fold.",South Indian
Sambar,"Toor dal, mixed vegetables, tamarind, sambar powder, mustard seeds","Cook dal. Boil vegetables with tamarind and spices. Add dal. Temper mustard seeds and add to sambar.",South Indian
Vegetable Biryani,"Basmati rice, vegetables, curd, spices, mint, coriander","Cook rice separately. Cook vegetables with spices and curd. Layer rice and vegetables. Cook on dum for 10 minutes.",Hyderabadi
Paneer Butter Masala,"Paneer, tomatoes, butter, cream, cashew paste, spices","Make tomato-cashew gravy. Add paneer cubes and cream. Cook for 5 minutes. Serve with naan.",Punjabi
Palak Paneer,"Spinach, paneer, garlic, onion, spices","Blanch spinach and blend. Cook onion-garlic. Add puree and spices. Add paneer cubes and cook.",North Indian
Chole,"Chickpeas, onion, tomato, ginger garlic, spices","Soak chickpeas overnight. Pressure cook. Make onion-tomato gravy. Add chickpeas and simmer.",Punjabi
Rajma,"Kidney beans, onion, tomato, spices","Soak rajma overnight. Pressure cook. Prepare gravy. Add beans and simmer.",North Indian
Dal Tadka,"Toor dal, garlic, cumin, ghee","Cook dal. Heat ghee, add garlic and cumin. Pour over dal.",Indian
Aloo Gobi,"Potato, cauliflower, onion, spices","Saute onion and spices. Add potatoes and cauliflower. Cook covered until tender.",North Indian
Bhindi Masala,"Ladyfinger, onion, tomato, spices","Fry bhindi till crisp. Prepare onion tomato masala. Add bhindi and mix.",Indian
Baingan Bharta,"Brinjal, onion, tomato, garlic","Roast brinjal. Mash and cook with onion tomato and spices.",North Indian
Veg Pulao,"Rice, vegetables, whole spices","Saute spices and vegetables. Add rice and water. Cook till done.",Indian
Curd Rice,"Rice, curd, mustard seeds, curry leaves","Mix curd with rice. Temper mustard and curry leaves. Mix and serve cold.",South Indian
Pav Bhaji,"Mixed vegetables, butter, pav, spices","Boil and mash vegetables. Cook with butter and spices. Serve with toasted pav.",Mumbai
Samosa,"Potatoes, peas, spices, maida","Prepare filling. Stuff into dough. Deep fry till golden.",Indian
Gulab Jamun,"Milk powder, flour, sugar syrup","Make dough balls. Fry on low flame. Soak in sugar syrup.",Indian
Masala Chai,"2 cups water, 1 cup milk, 2 tsp tea leaves, ginger, cardamom, sugar","Boil water with ginger and cardamom. Add tea leaves and boil for 2 minutes. Add milk and sugar. Boil again and strain.",Indian
Filter Coffee,"2 tbsp coffee powder, 1 cup hot milk, sugar","Prepare decoction using coffee powder. Heat milk. Mix decoction with milk and sugar.",South Indian
Vegetable Cutlet,"Mixed vegetables, bread crumbs, spices, oil","Boil and mash vegetables. Add spices and bread crumbs. Shape into patties and shallow fry.",Indian
Aloo Tikki,"Potatoes, green peas, spices, bread crumbs, oil","Mash potatoes and peas. Add spices. Shape into tikkis and fry till golden.",Street Food
Veg Manchurian,"Cabbage, carrot, cornflour, soy sauce, garlic","Make vegetable balls and fry. Prepare sauce. Toss balls in sauce.",Indo-Chinese
Fried Rice,"Cooked rice, vegetables, soy sauce, garlic","Stir fry garlic and vegetables. Add rice and sauces. Toss well.",Indo-Chinese
